what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236315233
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1265236317306
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1265236318083
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1265236323449
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1265236325050
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1265236333249
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1265236341134
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1265236345287
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.saveAll,1265236347156
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236359274
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236367835
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236372031
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.findReplace,1265236372057
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236374241
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236378019
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236389375
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236389591
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236391310
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236393778
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236492245
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236492444
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265236501754
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordNext,1265236506180
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1265236506719
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1265236507985
