what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1265235173085
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1265235173337
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordNext,1265235173739
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1265235174301
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.saveAll,1265235177509
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.saveAll,1265235181571
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1265235186669
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.debug,1265235186713
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1265235187864
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1265235189541
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1265235189563
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1265235192494
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235202884
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235251694
activated,editor,org.eclipse.jst.jsf.facesconfig.ui,1.1.3.v20090128,org.eclipse.jst.jsf.facesconfig.ui.FacesConfigEditor,1265235254213
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1265235257569
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordNext,1265235266170
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordNext,1265235267099
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1265235269418
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235327059
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235337562
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235383750
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235388949
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235394148
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235702665
