what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1265235064816
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235066809
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235069113
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1265235069118
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1265235079761
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1265235081545
started,bundle,org.eclipse.jst.jsf.common.ui,1.1.0.v20080605,org.eclipse.jst.jsf.common.ui,1265235081797
started,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.3.v20090128,org.eclipse.jst.jsf.facesconfig.ui,1265235081848
started,bundle,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef,1265235081848
started,bundle,org.eclipse.ui.views.properties.tabbed,3.4.2.M20090127-1700,org.eclipse.ui.views.properties.tabbed,1265235081868
started,bundle,org.eclipse.draw2d,3.4.2.v20090114-1330,org.eclipse.draw2d,1265235082431
opened,editor,org.eclipse.jst.jsf.facesconfig.ui,1.1.3.v20090128,org.eclipse.jst.jsf.facesconfig.ui.FacesConfigEditor,1265235082570
activated,editor,org.eclipse.jst.jsf.facesconfig.ui,1.1.3.v20090128,org.eclipse.jst.jsf.facesconfig.ui.FacesConfigEditor,1265235082834
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.saveAll,1265235091249
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1265235093511
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235094520
started,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1265235098151
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265235100044
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1265235100055
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1265235166559
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1265235167273
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1265235168135
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1265235168526
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.copy.qualified.name,1265235170150
activated,editor,org.eclipse.jst.jsf.facesconfig.ui,1.1.3.v20090128,org.eclipse.jst.jsf.facesconfig.ui.FacesConfigEditor,1265235171891
